Árvore,Profundidade,Nós,Folhas
1,34,959,480
2,65,1031,516
3,44,1019,510
4,46,1061,531
5,50,1047,524
6,40,945,473
7,33,927,464
8,33,1027,514
9,46,1053,527
10,45,839,420
11,34,1089,545
12,41,979,490
13,39,1065,533
14,53,913,457
15,33,1039,520
16,34,941,471
17,60,1055,528
18,38,911,456
19,56,1013,507
20,50,973,487
21,40,1057,529
22,32,1007,504
23,38,835,418
24,38,933,467
25,58,1105,553
26,57,975,488
27,45,1023,512
28,36,947,474
29,41,1015,508
30,39,1005,503
31,41,1019,510
32,29,965,483
33,37,961,481
34,48,957,479
35,52,987,494
36,39,1025,513
37,35,989,495
38,57,1047,524
39,36,1035,518
40,35,965,483
41,43,865,433
42,39,975,488
43,76,1117,559
44,35,901,451
45,53,989,495
46,41,773,387
47,43,927,464
48,43,959,480
49,39,929,465
50,52,1029,515
51,42,959,480
52,43,809,405
53,43,989,495
54,52,977,489
55,35,891,446
56,28,815,408
57,54,983,492
58,36,1031,516
59,43,1001,501
60,37,971,486
61,38,957,479
62,47,1027,514
63,54,963,482
64,43,981,491
65,37,951,476
66,34,1029,515
67,42,851,426
68,45,1023,512
69,32,1001,501
70,48,1015,508
71,49,1007,504
72,41,991,496
73,45,949,475
74,57,1057,529
75,35,1117,559
76,40,977,489
77,40,1025,513
78,49,923,462
79,29,949,475
80,48,959,480
81,31,879,440
82,34,993,497
83,46,965,483
84,43,1075,538
85,53,975,488
86,28,883,442
87,45,1005,503
88,36,979,490
89,39,955,478
90,36,1051,526
91,42,855,428
92,60,975,488
93,40,1049,525
94,36,927,464
95,51,987,494
96,39,1029,515
97,30,959,480
98,59,1057,529
99,32,895,448
100,45,991,496
101,59,975,488
102,53,969,485
103,55,1043,522
104,50,1091,546
105,41,1005,503
106,57,1061,531
107,50,945,473
108,50,937,469
109,40,929,465
110,54,1089,545
111,47,997,499
112,42,887,444
113,39,1029,515
114,50,1089,545
115,51,947,474
116,48,991,496
117,50,1021,511
118,35,879,440
119,71,935,468
120,37,967,484
121,72,1013,507
122,43,1005,503
123,49,985,493
124,54,1035,518
125,59,1037,519
126,51,953,477
127,45,975,488
128,58,869,435
129,48,979,490
130,43,999,500
131,46,929,465
132,85,1049,525
133,49,895,448
134,52,951,476
135,33,875,438
136,39,1023,512
137,35,1093,547
138,34,1007,504
139,45,791,396
140,40,943,472
141,83,1057,529
142,59,1033,517
143,40,923,462
144,35,871,436
145,55,987,494
146,40,913,457
147,32,1075,538
148,47,935,468
149,63,985,493
150,44,825,413
151,50,1029,515
152,40,1091,546
153,44,927,464
154,32,1031,516
155,40,1039,520
156,40,1069,535
157,32,985,493
158,38,1039,520
159,38,755,378
160,52,895,448
161,32,941,471
162,35,1063,532
163,42,1057,529
164,44,1121,561
165,33,1111,556
166,39,969,485
167,38,1023,512
168,37,1017,509
169,50,999,500
170,44,937,469
171,55,951,476
172,47,953,477
173,42,947,474
174,39,1059,530
175,39,1059,530
176,58,1021,511
177,54,971,486
178,44,915,458
179,50,1091,546
180,46,1035,518
181,43,953,477
182,35,1089,545
183,60,1111,556
184,35,1053,527
185,50,997,499
186,51,1035,518
187,39,967,484
188,36,1031,516
189,46,1091,546
190,35,999,500
191,52,1085,543
192,37,853,427
193,45,927,464
194,39,1007,504
195,49,1033,517
196,40,975,488
197,52,931,466
198,37,1095,548
199,37,1013,507
200,74,1139,570
201,40,941,471
202,41,1013,507
203,42,1033,517
204,40,1019,510
205,39,829,415
206,44,949,475
207,55,1069,535
208,43,929,465
209,61,901,451
210,37,867,434
211,44,1071,536
212,40,987,494
213,35,997,499
214,43,923,462
215,57,967,484
216,35,991,496
217,38,809,405
218,37,1061,531
219,37,855,428
220,35,1109,555
221,48,1043,522
222,55,1035,518
223,45,881,441
224,39,1117,559
225,44,965,483
226,44,997,499
227,50,901,451
228,40,885,443
229,44,1039,520
230,43,945,473
231,51,1003,502
232,57,1031,516
233,44,905,453
234,41,1073,537
235,38,981,491
236,47,1019,510
237,44,989,495
238,53,1017,509
239,52,1045,523
240,38,1091,546
241,47,959,480
242,43,903,452
243,76,993,497
244,38,1103,552
245,50,1023,512
246,34,903,452
247,46,1027,514
248,52,1047,524
249,59,959,480
250,35,995,498
251,39,1093,547
252,49,1025,513
253,38,1083,542
254,38,951,476
255,47,857,429
256,40,1125,563
257,54,923,462
258,49,927,464
259,36,983,492
260,40,929,465
261,50,1123,562
262,35,973,487
263,39,973,487
264,35,835,418
265,32,967,484
266,42,883,442
267,33,989,495
268,50,1029,515
269,43,1023,512
270,56,1041,521
271,62,1035,518
272,35,891,446
273,45,875,438
274,47,999,500
275,42,1097,549
276,41,895,448
277,33,963,482
278,53,1033,517
279,50,1015,508
280,51,893,447
281,38,927,464
282,48,973,487
283,52,879,440
284,44,933,467
285,32,1073,537
286,45,925,463
287,32,1035,518
288,36,1039,520
289,47,1027,514
290,58,1069,535
291,31,915,458
292,33,861,431
293,55,1051,526
294,54,1115,558
295,35,979,490
296,33,977,489
297,35,985,493
298,56,995,498
299,38,967,484
300,56,1029,515
