Classe associada;Palavra;Peso
Fake;coréia;2.0881913682837254
Fake;através;1.356470359138028
Fake;friboi;1.3538276390302222
Fake;reais;1.1956521353515657
Fake;bolsonaro;1.1834772169540717
Fake;sergio;1.1004057379103465
Fake;esquerda;1.0948727735027004
Fake;poderá;1.0838951290926424
Fake;dória;1.058555769415297
Fake;lula;1.010345994710184
Fake;políticos;1.009193612480774
Fake;dilma;0.9556517988914944
Fake;horas;0.938177169095338
Fake;alegou;0.9304472300356135
Fake;hoje;0.9159119666784191
Fake;folha;0.8982088970626447
Fake;brasil;0.8886050808171976
Fake;palavras;0.8794441052847007
Fake;000;0.8487774033620525
Fake;leia;0.8300198832219393
Fake;esposa;0.810710328176544
Fake;michel;0.8043029492225948
Fake;cadeia;0.8009068839145047
Fake;mais;0.7938420553379567
Fake;temer;0.7620616321883793
Fake;estão;0.7492253140059286
Fake;etc;0.7287747109870617
Fake;petista;0.7177509951655656
Fake;tudo;0.7165017430143997
Fake;teria;0.7076766321560093
Verdadeira;nesta;-3.073655985595687
Verdadeira;feira;-2.9799627038009744
Verdadeira;de;-2.551612977411071
Verdadeira;mas;-2.474297561267093
Verdadeira;segundo;-2.4192178012570453
Verdadeira;em;-2.379413570521453
Verdadeira;no;-2.3726080003816477
Verdadeira;na;-2.037425605087273
Verdadeira;afirmou;-1.9130299319203872
Verdadeira;sobre;-1.817206500026128
Verdadeira;da;-1.7921122280464434
Verdadeira;com;-1.7824548591608718
Verdadeira;do;-1.66837622095043
Verdadeira;ao;-1.642053487010814
Verdadeira;por;-1.5387574690284087
Verdadeira;quinta;-1.5188538793950128
Verdadeira;que;-1.4736105880632822
Verdadeira;terça;-1.4174982218871786
Verdadeira;ano;-1.3406687832338493
Verdadeira;quarta;-1.3237736047170297
Verdadeira;g1;-1.3160734324296823
Verdadeira;para;-1.2502458301815198
Verdadeira;falou;-1.2233310671908524
Verdadeira;diz;-1.2219975239342622
Verdadeira;sábado;-1.1949634672477072
Verdadeira;depois;-1.147994027200892
Verdadeira;tribunal;-1.1176720345948412
Verdadeira;dos;-1.0905318849617902
Verdadeira;passado;-1.0630661761405418
Verdadeira;isso;-1.0545596661382624
